Prepared 2024-01-16 21:28
Chromosome	Arm	Band	Abnormality	 
11	q	13	ins(10;11)(p12;q23q13)	 Acute myeloblastic leukemia with minimal differentiation (FAB type M0)
10	p	12	ins(10;11)(p12;q23q13)	 Acute monoblastic leukemia (FAB type M5)
11	q	23	ins(10;11)(p12;q23q13)	 Acute monoblastic leukemia (FAB type M5)
11	q	13	ins(10;11)(p12;q23q13)	 Acute monoblastic leukemia (FAB type M5)
10	p	12	ins(10;11)(p12;q23q13)	 Acute monoblastic leukemia without differentiation (FAB type M5a)
11	q	23	ins(10;11)(p12;q23q13)	 Acute monoblastic leukemia without differentiation (FAB type M5a)
11	q	13	ins(10;11)(p12;q23q13)	 Acute monoblastic leukemia without differentiation (FAB type M5a)
10	p	12	ins(10;11)(p12;q23q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	23	ins(10;11)(p12;q23q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	13	ins(10;11)(p12;q23q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
10	p	12	ins(10;11)(p12;q23q23)	 Acute monoblastic leukemia (FAB type M5)
11	q	23	ins(10;11)(p12;q23q23)	 Acute monoblastic leukemia (FAB type M5)
11	q	23	ins(10;11)(p12;q23q23)	 Acute monoblastic leukemia (FAB type M5)
10	p	12	ins(10;11)(p12;q23q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	23	ins(10;11)(p12;q23q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
11	q	23	ins(10;11)(p12;q23q23)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
10	p	13	ins(10;11)(p13;q23q13)	 Acute myeloid leukemia, NOS
11	q	23	ins(10;11)(p13;q23q13)	 Acute myeloid leukemia, NOS
11	q	13	ins(10;11)(p13;q23q13)	 Acute myeloid leukemia, NOS
10	p	13	ins(10;11)(p13;q23q21)	 Acute monoblastic leukemia (FAB type M5)
11	q	23	ins(10;11)(p13;q23q21)	 Acute monoblastic leukemia (FAB type M5)
11	q	21	ins(10;11)(p13;q23q21)	 Acute monoblastic leukemia (FAB type M5)
11	q	23	ins(11;10)(q23;p15p12)	 Acute monoblastic leukemia with differentiation (FAB type M5b)
10	p	15	ins(11;10)(q23;p15p12)	 Acute monoblastic leukemia with differentiation (FAB type M5b)
10	p	12	ins(11;10)(q23;p15p12)	 Acute monoblastic leukemia with differentiation (FAB type M5b)
12	p	13	ins(12;9)(p13;q34q34)	 Atypical chronic myeloid leukemia
9	q	34	ins(12;9)(p13;q34q34)	 Atypical chronic myeloid leukemia
9	q	34	ins(12;9)(p13;q34q34)	 Atypical chronic myeloid leukemia
12	q	15	ins(12;10)(q15;q11q26)	 Chondroid hamartoma
10	q	11	ins(12;10)(q15;q11q26)	 Chondroid hamartoma
10	q	26	ins(12;10)(q15;q11q26)	 Chondroid hamartoma
12	p	13	ins(12;21)(p13;q22q22)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
21	q	22	ins(12;21)(p13;q22q22)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
21	q	22	ins(12;21)(p13;q22q22)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
13	q	14	ins(13;13)(q14;q22q34)	 Acute monoblastic leukemia (FAB type M5)
13	q	22	ins(13;13)(q14;q22q34)	 Acute monoblastic leukemia (FAB type M5)
13	q	34	ins(13;13)(q14;q22q34)	 Acute monoblastic leukemia (FAB type M5)
14	q	32	ins(14;14)(q32;q32q11)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
14	q	32	ins(14;14)(q32;q32q11)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
14	q	11	ins(14;14)(q32;q32q11)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
15	q	22	ins(15;17)(q22;q21q21)	 Acute promyelocytic leukemia (FAB type M3)
17	q	21	ins(15;17)(q22;q21q21)	 Acute promyelocytic leukemia (FAB type M3)
17	q	21	ins(15;17)(q22;q21q21)	 Acute promyelocytic leukemia (FAB type M3)
15	q	24	ins(15;17)(q24;q21q21)	 Acute promyelocytic leukemia (FAB type M3)
17	q	21	ins(15;17)(q24;q21q21)	 Acute promyelocytic leukemia (FAB type M3)
17	q	21	ins(15;17)(q24;q21q21)	 Acute promyelocytic leukemia (FAB type M3)
16	q	22	ins(16)(q22p13p13)	 Acute myelomonocytic leukemia (FAB type M4)
16	p	13	ins(16)(q22p13p13)	 Acute myelomonocytic leukemia (FAB type M4)
16	p	13	ins(16)(q22p13p13)	 Acute myelomonocytic leukemia (FAB type M4)
17	q	12	ins(17;15)(q12;q22q22)	 Acute promyelocytic leukemia (FAB type M3)
15	q	22	ins(17;15)(q12;q22q22)	 Acute promyelocytic leukemia (FAB type M3)
15	q	22	ins(17;15)(q12;q22q22)	 Acute promyelocytic leukemia (FAB type M3)
17	q	21	ins(17;15)(q21;q24q24)	 Acute myeloid leukemia, NOS
15	q	24	ins(17;15)(q21;q24q24)	 Acute myeloid leukemia, NOS
15	q	24	ins(17;15)(q21;q24q24)	 Acute myeloid leukemia, NOS
21	q	22	ins(21;8)(q22;q13q22)	 Acute myeloid leukemia, NOS
8	q	13	ins(21;8)(q22;q13q22)	 Acute myeloid leukemia, NOS
8	q	22	ins(21;8)(q22;q13q22)	 Acute myeloid leukemia, NOS
21	q	22	ins(21;8)(q22;q21q22)	 Acute myeloid leukemia, NOS
8	q	21	ins(21;8)(q22;q21q22)	 Acute myeloid leukemia, NOS
8	q	22	ins(21;8)(q22;q21q22)	 Acute myeloid leukemia, NOS
21	q	22	ins(21;8)(q22;q22q22)	 Acute myeloblastic leukemia without maturation (FAB type M1)
8	q	22	ins(21;8)(q22;q22q22)	 Acute myeloblastic leukemia without maturation (FAB type M1)
8	q	22	ins(21;8)(q22;q22q22)	 Acute myeloblastic leukemia without maturation (FAB type M1)
21	q	22	ins(21;8)(q22;q22q22)	 Acute myeloblastic leukemia with maturation (FAB type M2)
8	q	22	ins(21;8)(q22;q22q22)	 Acute myeloblastic leukemia with maturation (FAB type M2)
8	q	22	ins(21;8)(q22;q22q22)	 Acute myeloblastic leukemia with maturation (FAB type M2)
21	q	22	ins(21;22)(q22;q12q12)	 Ewing sarcoma
22	q	12	ins(21;22)(q22;q12q12)	 Ewing sarcoma
22	q	12	ins(21;22)(q22;q12q12)	 Ewing sarcoma
22	q	11	ins(22;9)(q11;q34q34)	 Chronic myeloid leukemia, t(9;22)
9	q	34	ins(22;9)(q11;q34q34)	 Chronic myeloid leukemia, t(9;22)
9	q	34	ins(22;9)(q11;q34q34)	 Chronic myeloid leukemia, t(9;22)
22	q	11	ins(22;9)(q11;q34q34)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	ins(22;9)(q11;q34q34)	 Chronic myeloid leukemia, aberrant translocation
9	q	34	ins(22;9)(q11;q34q34)	 Chronic myeloid leukemia, aberrant translocation
1	p	13	inv(1)(p13q42)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
1	q	42	inv(1)(p13q42)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
1	p	22	inv(1)(p22q21)	 Diffuse large B-cell lymphoma
1	q	21	inv(1)(p22q21)	 Diffuse large B-cell lymphoma
1	p	36	inv(1)(p36p22)	 Adenocarcinoma
1	p	22	inv(1)(p36p22)	 Adenocarcinoma
1	p	36	inv(1)(p36p32)	 Adenocarcinoma
1	p	32	inv(1)(p36p32)	 Adenocarcinoma
1	p	36	inv(1)(p36q21)	 Acute myeloblastic leukemia with maturation (FAB type M2)
1	q	21	inv(1)(p36q21)	 Acute myeloblastic leukemia with maturation (FAB type M2)
1	p	36	inv(1)(p36q21)	 Chronic myeloid leukemia, t(9;22)
1	q	21	inv(1)(p36q21)	 Chronic myeloid leukemia, t(9;22)
1	p	36	inv(1)(p36q21)	 Multiple myeloma
1	q	21	inv(1)(p36q21)	 Multiple myeloma
1	p	36	inv(1)(p36q21)	 Adenocarcinoma
1	q	21	inv(1)(p36q21)	 Adenocarcinoma
1	q	21	inv(1)(q21q32)	 Acute myeloid leukemia, NOS
1	q	32	inv(1)(q21q32)	 Acute myeloid leukemia, NOS
1	q	21	inv(1)(q21q42)	 Leiomyoma
1	q	42	inv(1)(q21q42)	 Leiomyoma
1	q	24	inv(1)(q24q31)	 Burkitt lymphoma/leukemia
1	q	31	inv(1)(q24q31)	 Burkitt lymphoma/leukemia
2	p	11	inv(2)(p11q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
2	q	13	inv(2)(p11q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
2	p	23	inv(2)(p23p13)	 Neuroblastoma
2	p	13	inv(2)(p23p13)	 Neuroblastoma
2	p	23	inv(2)(p23q11)	 Adenocarcinoma
2	q	11	inv(2)(p23q11)	 Adenocarcinoma
2	p	23	inv(2)(p23q13)	 Acute myeloid leukemia, NOS
2	q	13	inv(2)(p23q13)	 Acute myeloid leukemia, NOS
2	p	23	inv(2)(p23q13)	 Acute myelomonocytic leukemia (FAB type M4)
2	q	13	inv(2)(p23q13)	 Acute myelomonocytic leukemia (FAB type M4)
2	p	23	inv(2)(p23q13)	 Myelodysplastic syndrome, NOS
2	q	13	inv(2)(p23q13)	 Myelodysplastic syndrome, NOS
2	p	23	inv(2)(p23q14)	 Adenocarcinoma
2	q	14	inv(2)(p23q14)	 Adenocarcinoma
2	p	23	inv(2)(p23q35)	 Anaplastic large cell lymphoma, systemic type
2	q	35	inv(2)(p23q35)	 Anaplastic large cell lymphoma, systemic type
2	p	25	inv(2)(p25q21)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
2	q	21	inv(2)(p25q21)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
3	p	13	inv(3)(p13q25)	 Chronic myeloid leukemia, t(9;22)
3	q	25	inv(3)(p13q25)	 Chronic myeloid leukemia, t(9;22)
3	p	21	inv(3)(p21q25)	 Acute myeloid leukemia, NOS
3	q	25	inv(3)(p21q25)	 Acute myeloid leukemia, NOS
3	p	21	inv(3)(p21q26)	 Acute myeloid leukemia, NOS
3	q	26	inv(3)(p21q26)	 Acute myeloid leukemia, NOS
3	p	23	inv(3)(p23q26)	 Acute myeloid leukemia, NOS
3	q	26	inv(3)(p23q26)	 Acute myeloid leukemia, NOS
3	p	24	inv(3)(p24q26)	 Acute myeloid leukemia, NOS
3	q	26	inv(3)(p24q26)	 Acute myeloid leukemia, NOS
3	p	25	inv(3)(p25p11)	 Adenocarcinoma
3	p	11	inv(3)(p25p11)	 Adenocarcinoma
3	p	25	inv(3)(p25p13)	 Adenocarcinoma
3	p	13	inv(3)(p25p13)	 Adenocarcinoma
3	p	25	inv(3)(p25q21)	 Adult T-cell lymphoma/leukemia (HTLV-)
3	q	21	inv(3)(p25q21)	 Adult T-cell lymphoma/leukemia (HTLV-)
3	p	25	inv(3)(p25q26)	 Acute myeloid leukemia, NOS
3	q	26	inv(3)(p25q26)	 Acute myeloid leukemia, NOS
3	p	25	inv(3)(p25q29)	 Diffuse large B-cell lymphoma
3	q	29	inv(3)(p25q29)	 Diffuse large B-cell lymphoma
3	q	12	inv(3)(q12q26)	 Acute myeloid leukemia, NOS
3	q	26	inv(3)(q12q26)	 Acute myeloid leukemia, NOS
3	q	12	inv(3)(q12q27)	 Diffuse large B-cell lymphoma
3	q	27	inv(3)(q12q27)	 Diffuse large B-cell lymphoma
3	q	13	inv(3)(q13q27)	 Diffuse large B-cell lymphoma
3	q	27	inv(3)(q13q27)	 Diffuse large B-cell lymphoma
3	q	21	inv(3)(q21q26)	 Bilineage or biphenotypic leukemia
3	q	26	inv(3)(q21q26)	 Bilineage or biphenotypic leukemia
3	q	21	inv(3)(q21q26)	 Acute myeloid leukemia, NOS
3	q	26	inv(3)(q21q26)	 Acute myeloid leukemia, NOS
3	q	21	inv(3)(q21q26)	 Acute myeloblastic leukemia with minimal differentiation (FAB type M0)
3	q	26	inv(3)(q21q26)	 Acute myeloblastic leukemia with minimal differentiation (FAB type M0)
3	q	21	inv(3)(q21q26)	 Acute myeloblastic leukemia without maturation (FAB type M1)
3	q	26	inv(3)(q21q26)	 Acute myeloblastic leukemia without maturation (FAB type M1)
3	q	21	inv(3)(q21q26)	 Acute myeloblastic leukemia with maturation (FAB type M2)
3	q	26	inv(3)(q21q26)	 Acute myeloblastic leukemia with maturation (FAB type M2)
3	q	21	inv(3)(q21q26)	 Acute myelomonocytic leukemia (FAB type M4)
3	q	26	inv(3)(q21q26)	 Acute myelomonocytic leukemia (FAB type M4)
3	q	21	inv(3)(q21q26)	 Acute monoblastic leukemia (FAB type M5)
3	q	26	inv(3)(q21q26)	 Acute monoblastic leukemia (FAB type M5)
3	q	21	inv(3)(q21q26)	 Acute monoblastic leukemia without differentiation (FAB type M5a)
3	q	26	inv(3)(q21q26)	 Acute monoblastic leukemia without differentiation (FAB type M5a)
3	q	21	inv(3)(q21q26)	 Acute monoblastic leukemia with differentiation (FAB type M5b)
3	q	26	inv(3)(q21q26)	 Acute monoblastic leukemia with differentiation (FAB type M5b)
3	q	21	inv(3)(q21q26)	 Acute erythroleukemia (FAB type M6)
3	q	26	inv(3)(q21q26)	 Acute erythroleukemia (FAB type M6)
3	q	21	inv(3)(q21q26)	 Acute megakaryoblastic leukemia (FAB type M7)
3	q	26	inv(3)(q21q26)	 Acute megakaryoblastic leukemia (FAB type M7)
3	q	21	inv(3)(q21q26)	 Chronic myeloid leukemia, t(9;22)
3	q	26	inv(3)(q21q26)	 Chronic myeloid leukemia, t(9;22)
3	q	21	inv(3)(q21q26)	 Chronic myeloid leukemia, aberrant translocation
3	q	26	inv(3)(q21q26)	 Chronic myeloid leukemia, aberrant translocation
3	q	21	inv(3)(q21q26)	 Myelodysplastic/myeloproliferative disease, NOS
3	q	26	inv(3)(q21q26)	 Myelodysplastic/myeloproliferative disease, NOS
3	q	21	inv(3)(q21q26)	 Chronic myelomonocytic leukemia
3	q	26	inv(3)(q21q26)	 Chronic myelomonocytic leukemia
3	q	21	inv(3)(q21q26)	 Chronic myeloproliferative disorder, NOS
3	q	26	inv(3)(q21q26)	 Chronic myeloproliferative disorder, NOS
3	q	21	inv(3)(q21q26)	 Idiopathic myelofibrosis
3	q	26	inv(3)(q21q26)	 Idiopathic myelofibrosis
3	q	21	inv(3)(q21q26)	 Essential thrombocythemia
3	q	26	inv(3)(q21q26)	 Essential thrombocythemia
3	q	21	inv(3)(q21q26)	 Myelodysplastic syndrome, NOS
3	q	26	inv(3)(q21q26)	 Myelodysplastic syndrome, NOS
3	q	21	inv(3)(q21q26)	 Refractory anemia
3	q	26	inv(3)(q21q26)	 Refractory anemia
3	q	21	inv(3)(q21q26)	 Refractory anemia with excess of blasts (FAB)
3	q	26	inv(3)(q21q26)	 Refractory anemia with excess of blasts (FAB)
3	q	21	inv(3)(q21q26)	 Refractory anemia with excess blasts-2
3	q	26	inv(3)(q21q26)	 Refractory anemia with excess blasts-2
3	q	21	inv(3)(q21q26)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
3	q	26	inv(3)(q21q26)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
3	q	21	inv(3)(q21q26)	 Multiple myeloma
3	q	26	inv(3)(q21q26)	 Multiple myeloma
3	q	22	inv(3)(q22q26)	 Acute myeloid leukemia, NOS
3	q	26	inv(3)(q22q26)	 Acute myeloid leukemia, NOS
3	q	22	inv(3)(q22q26)	 Acute monoblastic leukemia (FAB type M5)
3	q	26	inv(3)(q22q26)	 Acute monoblastic leukemia (FAB type M5)
3	q	22	inv(3)(q22q26)	 Chronic myeloid leukemia, t(9;22)
3	q	26	inv(3)(q22q26)	 Chronic myeloid leukemia, t(9;22)
3	q	23	inv(3)(q23q26)	 Chronic myeloid leukemia, t(9;22)
3	q	26	inv(3)(q23q26)	 Chronic myeloid leukemia, t(9;22)
5	p	15	inv(5)(p15q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	q	13	inv(5)(p15q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
5	q	13	inv(5)(q13q35)	 Multiple myeloma
5	q	35	inv(5)(q13q35)	 Multiple myeloma
6	p	21	inv(6)(p21q21)	 Lipoma
6	q	21	inv(6)(p21q21)	 Lipoma
6	p	22	inv(6)(p22q12)	 Mycosis fungoides/Sézary syndrome
6	q	12	inv(6)(p22q12)	 Mycosis fungoides/Sézary syndrome
6	p	23	inv(6)(p23q11)	 Mantle cell lymphoma
6	q	11	inv(6)(p23q11)	 Mantle cell lymphoma
6	p	23	inv(6)(p23q12)	 Acute erythroleukemia (FAB type M6)
6	q	12	inv(6)(p23q12)	 Acute erythroleukemia (FAB type M6)
6	p	25	inv(6)(p25q13)	 Chondromyxoid fibroma
6	q	13	inv(6)(p25q13)	 Chondromyxoid fibroma
6	p	25	inv(6)(p25q14)	 Acute myeloid leukemia, NOS
6	q	14	inv(6)(p25q14)	 Acute myeloid leukemia, NOS
7	p	11	inv(7)(p11q22)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	q	22	inv(7)(p11q22)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	p	15	inv(7)(p15q22)	 Chronic myeloid leukemia, t(9;22)
7	q	22	inv(7)(p15q22)	 Chronic myeloid leukemia, t(9;22)
7	p	15	inv(7)(p15q32)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	q	32	inv(7)(p15q32)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	p	15	inv(7)(p15q34)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	q	34	inv(7)(p15q34)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	p	15	inv(7)(p15q34)	 Adenocarcinoma
7	q	34	inv(7)(p15q34)	 Adenocarcinoma
7	p	15	inv(7)(p15q34)ort(7;7)(p15;q34)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	q	34	inv(7)(p15q34)ort(7;7)(p15;q34)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	p	15	inv(7)(p15q34)ort(7;7)(p15;q34)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	q	34	inv(7)(p15q34)ort(7;7)(p15;q34)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
7	p	22	inv(7)(p22p15)	 Multiple myeloma
7	p	15	inv(7)(p22p15)	 Multiple myeloma
7	p	22	inv(7)(p22q11)	 Chronic myeloid leukemia, t(9;22)
7	q	11	inv(7)(p22q11)	 Chronic myeloid leukemia, t(9;22)
7	p	22	inv(7)(p22q11)	 Adenocarcinoma
7	q	11	inv(7)(p22q11)	 Adenocarcinoma
7	p	22	inv(7)(p22q11)	 Squamous cell carcinoma
7	q	11	inv(7)(p22q11)	 Squamous cell carcinoma
7	p	22	inv(7)(p22q32)	 Chronic lymphocytic leukemia
7	q	32	inv(7)(p22q32)	 Chronic lymphocytic leukemia
7	p	22	inv(7)(p22q32)	 Leiomyoma
7	q	32	inv(7)(p22q32)	 Leiomyoma
7	q	11	inv(7)(q11q32)	 Adenocarcinoma
7	q	32	inv(7)(q11q32)	 Adenocarcinoma
7	q	22	inv(7)(q22q34)	 Acute myeloid leukemia, NOS
7	q	34	inv(7)(q22q34)	 Acute myeloid leukemia, NOS
8	p	11	inv(8)(p11q13)	 Acute myelomonocytic leukemia (FAB type M4)
8	q	13	inv(8)(p11q13)	 Acute myelomonocytic leukemia (FAB type M4)
8	p	11	inv(8)(p11q13)	 Acute monoblastic leukemia without differentiation (FAB type M5a)
8	q	13	inv(8)(p11q13)	 Acute monoblastic leukemia without differentiation (FAB type M5a)
8	p	21	inv(8)(p21q22)	 Acute myeloid leukemia, NOS
8	q	22	inv(8)(p21q22)	 Acute myeloid leukemia, NOS
8	p	22	inv(8)(p22q11)	 Multiple myeloma
8	q	11	inv(8)(p22q11)	 Multiple myeloma
8	q	22	inv(8)(q22q24)	 Acute myeloid leukemia, NOS
8	q	24	inv(8)(q22q24)	 Acute myeloid leukemia, NOS
9	p	11	inv(9)(p11q12)	 Chronic myeloid leukemia, t(9;22)
9	q	12	inv(9)(p11q12)	 Chronic myeloid leukemia, t(9;22)
9	p	11	inv(9)(p11q12)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
9	q	12	inv(9)(p11q12)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
9	p	11	inv(9)(p11q13)	 Acute myeloid leukemia, NOS
9	q	13	inv(9)(p11q13)	 Acute myeloid leukemia, NOS
9	p	11	inv(9)(p11q13)	 Acute myeloblastic leukemia with maturation (FAB type M2)
9	q	13	inv(9)(p11q13)	 Acute myeloblastic leukemia with maturation (FAB type M2)
9	p	11	inv(9)(p11q13)	 Acute myelomonocytic leukemia (FAB type M4)
9	q	13	inv(9)(p11q13)	 Acute myelomonocytic leukemia (FAB type M4)
9	p	11	inv(9)(p11q13)	 Chronic myeloid leukemia, t(9;22)
9	q	13	inv(9)(p11q13)	 Chronic myeloid leukemia, t(9;22)
9	p	11	inv(9)(p11q13)	 Chronic myelomonocytic leukemia
9	q	13	inv(9)(p11q13)	 Chronic myelomonocytic leukemia
9	p	11	inv(9)(p11q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
9	q	13	inv(9)(p11q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
9	p	11	inv(9)(p11q13)	 Multiple myeloma
9	q	13	inv(9)(p11q13)	 Multiple myeloma
9	p	11	inv(9)(p11q13)	 Mature B-cell neoplasm, NOS
9	q	13	inv(9)(p11q13)	 Mature B-cell neoplasm, NOS
9	p	11	inv(9)(p11q13)	 Chronic lymphocytic leukemia
9	q	13	inv(9)(p11q13)	 Chronic lymphocytic leukemia
9	p	11	inv(9)(p11q13)	 Squamous cell carcinoma
9	q	13	inv(9)(p11q13)	 Squamous cell carcinoma
9	p	11	inv(9)(p11q13)	 Nonneoplastic hematologic disorder/lesion
9	q	13	inv(9)(p11q13)	 Nonneoplastic hematologic disorder/lesion
9	p	12	inv(9)(p12q13)	 Bilineage or biphenotypic leukemia
9	q	13	inv(9)(p12q13)	 Bilineage or biphenotypic leukemia
9	p	12	inv(9)(p12q13)	 Acute myeloid leukemia, NOS
9	q	13	inv(9)(p12q13)	 Acute myeloid leukemia, NOS
9	p	12	inv(9)(p12q13)	 Acute myeloblastic leukemia with maturation (FAB type M2)
9	q	13	inv(9)(p12q13)	 Acute myeloblastic leukemia with maturation (FAB type M2)
9	p	12	inv(9)(p12q13)	 Acute monoblastic leukemia (FAB type M5)
9	q	13	inv(9)(p12q13)	 Acute monoblastic leukemia (FAB type M5)
9	p	12	inv(9)(p12q13)	 Acute monoblastic leukemia without differentiation (FAB type M5a)
9	q	13	inv(9)(p12q13)	 Acute monoblastic leukemia without differentiation (FAB type M5a)
9	p	12	inv(9)(p12q13)	 Acute megakaryoblastic leukemia (FAB type M7)
9	q	13	inv(9)(p12q13)	 Acute megakaryoblastic leukemia (FAB type M7)
9	p	12	inv(9)(p12q13)	 Myelodysplastic syndrome, NOS
9	q	13	inv(9)(p12q13)	 Myelodysplastic syndrome, NOS
9	p	12	inv(9)(p12q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
9	q	13	inv(9)(p12q13)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
9	p	12	inv(9)(p12q13)	 Chronic lymphocytic leukemia
9	q	13	inv(9)(p12q13)	 Chronic lymphocytic leukemia
9	p	12	inv(9)(p12q13)	 Adenocarcinoma
9	q	13	inv(9)(p12q13)	 Adenocarcinoma
9	p	21	inv(9)(p21q22)	 Acute myeloid leukemia, NOS
9	q	22	inv(9)(p21q22)	 Acute myeloid leukemia, NOS
10	p	15	inv(10)(p15q22)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
10	q	22	inv(10)(p15q22)	 Acute lymphoblastic leukemia/lymphoblastic lymphoma
10	q	11	inv(10)(q11q21)	 Adenocarcinoma
10	q	21	inv(10)(q11q21)	 Adenocarcinoma
11	p	11	inv(11)(p11q23)	 Chronic myeloid leukemia, t(9;22)
11	q	23	inv(11)(p11q23)	 Chronic myeloid leukemia, t(9;22)
11	p	15	inv(11)(p15q21)	 Chronic myeloid leukemia, t(9;22)
11	q	21	inv(11)(p15q21)	 Chronic myeloid leukemia, t(9;22)
11	p	15	inv(11)(p15q22)	 Acute myeloid leukemia, NOS
11	q	22	inv(11)(p15q22)	 Acute myeloid leukemia, NOS
11	p	15	inv(11)(p15q22)	 Acute myelomonocytic leukemia (FAB type M4)
11	q	22	inv(11)(p15q22)	 Acute myelomonocytic leukemia (FAB type M4)
11	p	15	inv(11)(p15q23)	 Acute myeloid leukemia, NOS
11	q	23	inv(11)(p15q23)	 Acute myeloid leukemia, NOS
11	p	15	inv(11)(p15q23)	 Acute myeloblastic leukemia without maturation (FAB type M1)
